,source node,target node,rating,time
0,6,2,4,2010-11-08 18:45:11.728359936
1,6,5,2,2010-11-08 18:45:41.533780224
2,1,15,1,2010-11-08 19:05:40.390490112
3,4,3,7,2010-11-08 19:41:17.369750016
4,13,16,8,2010-11-08 22:10:54.447459840
5,13,10,8,2010-11-08 22:11:40.795140096
6,7,5,1,2010-11-10 04:18:20.479130112
7,2,21,5,2010-11-10 06:29:16.809380096
8,2,20,5,2010-11-10 06:30:22.214729984
9,21,2,5,2010-11-10 09:23:01.527869952
10,21,1,8,2010-11-11 02:10:11.463650048
11,21,10,8,2010-11-11 02:10:38.442599936
12,21,8,9,2010-11-11 02:10:50.590060032
13,21,3,7,2010-11-11 02:12:05.738310144
14,17,3,5,2010-11-11 02:25:13.037110016
15,17,23,1,2010-11-11 15:34:28.484859904
16,10,1,8,2010-11-12 09:54:16.328979968
17,10,6,7,2010-11-12 09:55:31.222170112
18,10,21,8,2010-11-12 09:55:45.646630144
19,10,8,1,2010-11-12 09:56:07.709500160
20,10,25,10,2010-11-12 09:57:21.665080064
21,10,2,7,2010-11-12 09:57:51.042330112
22,10,3,7,2010-11-12 09:57:55.709580032
23,4,26,1,2010-11-13 09:48:13.990289920
24,26,4,1,2010-11-13 09:48:23.577850112
25,5,1,3,2010-11-13 14:58:18.870480128
26,5,6,3,2010-11-13 14:58:39.009819904
27,5,7,1,2010-11-13 14:59:07.437949952
28,1,5,4,2010-11-14 04:57:23.199630080
29,6,4,2,2010-11-14 21:38:20.429299968
30,4,6,5,2010-11-14 21:39:16.502969856
31,2,4,5,2010-11-14 21:48:23.539289856
32,17,28,1,2010-11-15 15:48:01.520989952
33,17,13,2,2010-11-16 02:09:27.895379968
34,13,17,2,2010-11-16 02:13:31.944519936
35,13,29,2,2010-11-18 13:50:12.273319936
36,29,13,2,2010-11-18 14:21:58.308819968
37,17,20,2,2010-11-18 19:28:06.688679936
38,4,31,1,2010-11-19 20:12:29.130820096
39,31,4,2,2010-11-19 20:12:34.484219904
40,32,6,1,2010-11-21 00:47:21.669250048
41,13,1,8,2010-11-23 13:56:03.535960064
42,7,34,1,2010-11-25 00:20:57.561570048
43,34,7,1,2010-11-25 00:21:17.402129920
44,32,1,1,2010-11-25 06:35:28.421629952
45,1,32,1,2010-11-25 06:35:53.431750144
46,1,34,1,2010-11-26 05:47:14.012489984
47,34,1,1,2010-11-26 06:26:16.478859776
48,34,13,1,2010-11-26 08:04:03.302070016
49,13,34,1,2010-11-26 08:52:36.736900096
50,6,7,5,2010-11-27 02:52:47.172110080
51,7,6,3,2010-11-27 02:56:31.420339968
52,1,17,9,2010-11-28 18:33:56.780189952
53,1,31,2,2010-11-29 17:46:04.714540032
54,31,1,3,2010-11-29 18:39:32.914390016
55,35,6,2,2010-11-29 18:42:54.725959936
56,1,13,3,2010-11-30 04:22:10.694809856
57,36,37,1,2010-11-30 22:57:03.292160000
58,37,36,1,2010-11-30 23:30:45.125560064
59,35,1,1,2010-11-30 23:31:51.118909952
60,17,1,9,2010-12-01 15:38:02.282990080
61,8,1,3,2010-12-02 18:40:32.336980224
62,7,29,2,2010-12-03 11:35:09.623849984
63,1,20,2,2010-12-04 23:27:46.309929984
64,37,44,1,2010-12-05 02:18:48.231590144
65,44,37,1,2010-12-05 02:21:37.492270080
66,39,45,1,2010-12-05 19:54:32.197809920
67,39,7,3,2010-12-05 23:04:34.456190208
68,39,44,1,2010-12-05 23:19:38.259589888
69,44,39,1,2010-12-05 23:20:11.843950080
70,23,17,1,2010-12-06 08:23:01.127720192
71,23,19,1,2010-12-06 08:23:07.909549824
72,36,46,1,2010-12-07 01:16:19.711780096
73,46,36,1,2010-12-07 01:16:52.115990016
74,47,1,2,2010-12-07 16:44:30.947279872
75,13,7,1,2010-12-07 21:23:36.297209856
76,7,13,1,2010-12-07 21:23:51.503030016
77,29,51,1,2010-12-11 12:28:54.039520000
78,51,29,1,2010-12-11 12:42:58.892610048
79,29,52,1,2010-12-11 16:33:56.699859968
80,52,29,1,2010-12-11 16:34:40.073600000
81,45,39,2,2010-12-11 20:26:00.975100160
82,45,53,2,2010-12-12 21:28:26.474850048
83,53,45,2,2010-12-12 21:30:12.531100160
84,45,54,2,2010-12-12 22:43:48.312730112
85,54,45,2,2010-12-12 23:04:22.409859840
86,1,54,1,2010-12-12 23:26:32.214739968
87,54,1,1,2010-12-12 23:26:47.139059968
88,7,3,6,2010-12-13 00:34:22.157600000
89,36,41,2,2010-12-13 02:10:37.084039936
90,41,36,2,2010-12-13 02:11:12.450439936
91,36,21,2,2010-12-14 03:32:52.764329984
92,21,36,2,2010-12-14 03:33:28.096039936
93,7,36,3,2010-12-14 21:13:05.865240064
94,36,7,4,2010-12-14 21:14:58.905109760
95,7,53,4,2010-12-15 19:46:41.756540160
96,53,7,4,2010-12-15 19:47:12.711840000
97,7,55,1,2010-12-15 21:17:37.206320128
98,55,7,1,2010-12-16 09:06:16.236370176
99,29,7,2,2010-12-18 23:49:57.426189824
100,4,57,5,2010-12-19 21:56:58.341649920
101,39,21,2,2010-12-20 04:25:58.238339840
102,21,39,2,2010-12-20 04:28:48.733220096
103,4,61,2,2010-12-20 05:40:18.446240000
104,61,4,3,2010-12-20 05:41:12.326030080
105,61,20,8,2010-12-20 05:41:24.254020096
106,61,2,2,2010-12-20 05:42:07.667000064
107,35,65,1,2010-12-21 08:40:38.872480000
108,65,35,2,2010-12-21 12:52:28.103069952
109,56,1,2,2010-12-21 18:45:57.404079872
110,1,56,2,2010-12-21 18:46:35.714700032
111,4,66,2,2010-12-22 20:45:23.003520000
112,66,4,2,2010-12-22 21:52:22.655139840
113,21,7,5,2010-12-24 11:53:24.746180096
114,7,20,4,2010-12-27 00:31:10.962179840
115,35,69,1,2010-12-27 11:14:32.814439936
116,35,70,1,2010-12-27 11:14:39.243799808
117,39,69,2,2010-12-27 12:35:41.914750208
118,69,39,2,2010-12-27 12:37:36.207209984
119,69,35,2,2010-12-27 12:37:43.223400192
120,1,71,1,2010-12-27 20:20:38.153029888
121,71,1,8,2010-12-27 20:25:51.965270016
122,7,28,2,2010-12-27 20:28:08.785850112
123,28,7,1,2010-12-27 20:37:14.623280128
124,4,72,4,2010-12-28 08:04:59.486439936
125,1,74,1,2010-12-28 23:34:34.010070016
126,74,1,1,2010-12-28 23:34:40.833929984
127,41,75,1,2010-12-29 00:52:41.487500032
128,68,64,1,2010-12-29 06:11:45.360080128
129,76,7,1,2010-12-29 06:35:43.590490112
130,7,76,1,2010-12-29 06:36:30.111300096
131,7,19,5,2010-12-29 14:18:36.693580032
132,32,23,1,2010-12-29 17:20:57.606489856
133,23,32,1,2010-12-29 18:12:20.180999936
134,23,20,1,2010-12-29 22:17:35.822819840
135,61,77,4,2010-12-29 23:37:20.740699904
136,1,78,1,2010-12-30 22:52:53.834320128
137,78,1,1,2010-12-30 22:54:29.216870144
138,60,41,1,2010-12-31 18:24:00.409470208
139,41,60,1,2010-12-31 18:32:19.691229952
140,78,60,1,2010-12-31 21:37:40.959549952
141,60,78,1,2010-12-31 21:37:59.760950016
142,57,4,2,2011-01-01 00:54:14.064750080
143,23,69,1,2011-01-01 13:22:00.916409856
144,69,23,1,2011-01-01 13:22:17.471960064
145,64,68,1,2011-01-02 01:05:57.986439936
146,35,79,1,2011-01-02 18:54:39.858249984
147,79,35,1,2011-01-02 19:36:31.469850112
148,41,4,1,2011-01-03 18:59:23.013999872
149,4,41,1,2011-01-03 18:59:37.898159872
150,1,68,2,2011-01-03 19:41:28.368950016
151,68,1,2,2011-01-03 19:42:05.974950144
152,69,28,3,2011-01-04 07:36:30.415000064
153,28,69,3,2011-01-04 14:46:32.919249920
154,64,80,1,2011-01-05 01:22:22.607019776
155,17,81,1,2011-01-05 01:48:14.047630080
156,81,17,1,2011-01-05 01:56:54.672320000
157,69,62,1,2011-01-05 16:20:10.426300160
158,62,69,1,2011-01-05 17:38:00.613019904
159,41,83,1,2011-01-05 21:27:49.277060096
160,41,104,1,2011-01-05 22:41:04.640710144
161,83,41,1,2011-01-05 22:41:17.040649984
162,41,86,1,2011-01-05 23:46:57.572140032
163,86,41,1,2011-01-06 00:33:43.321410048
164,104,41,1,2011-01-06 03:37:48.747719936
165,4,87,1,2011-01-06 07:47:10.229959936
166,87,4,1,2011-01-06 07:49:46.314040064
167,81,69,2,2011-01-07 10:26:10.329600000
168,69,81,2,2011-01-07 10:27:56.495340032
169,41,89,1,2011-01-07 18:47:52.975689984
170,89,41,1,2011-01-07 19:47:09.844659968
171,60,87,1,2011-01-07 19:52:12.327320064
172,87,60,1,2011-01-07 19:53:19.784120064
173,7,89,2,2011-01-07 22:15:42.465410048
174,89,7,2,2011-01-07 22:26:33.840819968
175,64,94,1,2011-01-09 04:12:55.242390016
176,41,70,1,2011-01-09 17:55:19.201790208
177,94,64,1,2011-01-09 18:52:18.540060160
178,70,95,1,2011-01-09 19:12:01.900780032
179,95,70,3,2011-01-09 19:12:34.235110144
180,70,41,1,2011-01-09 19:12:35.248310016
181,70,35,1,2011-01-09 19:12:42.031950080
182,39,17,3,2011-01-10 19:56:21.252549888
183,17,39,1,2011-01-10 19:57:18.394910208
184,70,96,1,2011-01-11 23:32:01.908359936
185,96,70,3,2011-01-12 17:51:33.163310080
186,15,97,2,2011-01-13 11:57:38.695149824
187,97,15,2,2011-01-13 13:57:56.836280064
188,69,99,4,2011-01-13 19:39:56.869449984
189,99,69,1,2011-01-13 21:15:08.359729920
190,88,7,3,2011-01-14 03:00:57.980439808
191,1,81,1,2011-01-14 05:14:02.235209984
192,70,15,1,2011-01-14 09:20:43.918450176
193,15,70,1,2011-01-14 13:26:33.793960192
194,81,1,1,2011-01-15 03:02:39.466320128
195,1,101,1,2011-01-16 07:44:33.992059904
196,62,54,2,2011-01-16 21:31:37.497920000
197,54,62,2,2011-01-16 21:31:53.501810176
198,101,1,1,2011-01-16 23:17:44.744379904
199,100,101,1,2011-01-17 00:11:14.800150016
200,101,103,1,2011-01-17 00:25:55.115820032
201,80,25,2,2011-01-17 16:43:51.451859968
202,100,60,2,2011-01-18 23:51:06.149789952
203,39,4,1,2011-01-19 05:55:59.005240064
204,4,39,1,2011-01-19 05:56:11.508879872
205,41,105,1,2011-01-19 18:00:35.880870144
206,72,4,4,2011-01-20 07:16:05.131720192
207,96,106,1,2011-01-20 15:43:16.774259968
208,106,96,1,2011-01-20 21:58:13.079070208
209,81,107,2,2011-01-21 14:40:29.449479936
210,107,81,3,2011-01-21 15:03:58.775340032
211,60,108,1,2011-01-21 22:05:15.553230080
212,108,60,1,2011-01-21 22:05:36.522860032
213,97,68,1,2011-01-22 18:15:15.426160128
214,68,97,1,2011-01-22 18:18:44.599479808
215,96,107,2,2011-01-23 18:16:33.897020160
216,7,109,1,2011-01-24 05:33:09.687330048
217,109,7,1,2011-01-24 05:33:17.870820096
218,41,110,1,2011-01-25 21:17:12.968920064
219,41,68,1,2011-01-25 22:43:34.743129856
220,68,41,1,2011-01-25 22:44:40.144979968
221,107,96,2,2011-01-26 19:49:45.995239936
222,23,7,5,2011-01-26 21:07:42.499739904
223,7,111,1,2011-01-26 23:48:43.473090048
224,111,7,1,2011-01-26 23:50:47.782870016
225,64,112,2,2011-01-27 02:52:21.777220096
226,112,64,2,2011-01-27 02:52:48.616529920
227,112,77,1,2011-01-27 21:21:50.872740096
228,112,115,2,2011-01-27 21:22:24.677090048
229,112,60,4,2011-01-27 21:23:23.153619968
230,60,112,4,2011-01-27 21:37:24.662240000
231,109,39,1,2011-01-28 15:43:32.306409984
232,39,109,1,2011-01-28 15:43:40.538089984
233,6,114,2,2011-01-29 08:57:37.018699776
234,114,39,1,2011-01-29 08:58:03.029419776
235,6,32,1,2011-01-29 09:02:03.909769984
236,39,114,1,2011-01-29 09:04:38.918629888
237,47,7,1,2011-01-31 22:14:20.000509952
238,1,119,1,2011-01-31 22:15:02.969600000
