source,target,weight,timeset
6,2,4,2010-11-08T18:45:11Z
6,5,2,2010-11-08T18:45:41Z
1,15,1,2010-11-08T19:05:40Z
4,3,7,2010-11-08T19:41:17Z
13,16,8,2010-11-08T22:10:54Z
13,10,8,2010-11-08T22:11:40Z
7,5,1,2010-11-10T04:18:20Z
2,21,5,2010-11-10T06:29:16Z
2,20,5,2010-11-10T06:30:22Z
21,2,5,2010-11-10T09:23:01Z
21,1,8,2010-11-11T02:10:11Z
21,10,8,2010-11-11T02:10:38Z
21,8,9,2010-11-11T02:10:50Z
21,3,7,2010-11-11T02:12:05Z
17,3,5,2010-11-11T02:25:13Z
17,23,1,2010-11-11T15:34:28Z
10,1,8,2010-11-12T09:54:16Z
10,6,7,2010-11-12T09:55:31Z
10,21,8,2010-11-12T09:55:45Z
10,8,1,2010-11-12T09:56:07Z
10,25,10,2010-11-12T09:57:21Z
10,2,7,2010-11-12T09:57:51Z
10,3,7,2010-11-12T09:57:55Z
4,26,1,2010-11-13T09:48:13Z
26,4,1,2010-11-13T09:48:23Z
5,1,3,2010-11-13T14:58:18Z
5,6,3,2010-11-13T14:58:39Z
5,7,1,2010-11-13T14:59:07Z
1,5,4,2010-11-14T04:57:23Z
6,4,2,2010-11-14T21:38:20Z
4,6,5,2010-11-14T21:39:16Z
2,4,5,2010-11-14T21:48:23Z
17,28,1,2010-11-15T15:48:01Z
17,13,2,2010-11-16T02:09:27Z
13,17,2,2010-11-16T02:13:31Z
13,29,2,2010-11-18T13:50:12Z
29,13,2,2010-11-18T14:21:58Z
17,20,2,2010-11-18T19:28:06Z
4,31,1,2010-11-19T20:12:29Z
31,4,2,2010-11-19T20:12:34Z
32,6,1,2010-11-21T00:47:21Z
13,1,8,2010-11-23T13:56:03Z
7,34,1,2010-11-25T00:20:57Z
34,7,1,2010-11-25T00:21:17Z
32,1,1,2010-11-25T06:35:28Z
1,32,1,2010-11-25T06:35:53Z
1,34,1,2010-11-26T05:47:14Z
34,1,1,2010-11-26T06:26:16Z
34,13,1,2010-11-26T08:04:03Z
13,34,1,2010-11-26T08:52:36Z
6,7,5,2010-11-27T02:52:47Z
7,6,3,2010-11-27T02:56:31Z
1,17,9,2010-11-28T18:33:56Z
1,31,2,2010-11-29T17:46:04Z
31,1,3,2010-11-29T18:39:32Z
35,6,2,2010-11-29T18:42:54Z
1,13,3,2010-11-30T04:22:10Z
36,37,1,2010-11-30T22:57:03Z
37,36,1,2010-11-30T23:30:45Z
35,1,1,2010-11-30T23:31:51Z
17,1,9,2010-12-01T15:38:02Z
8,1,3,2010-12-02T18:40:32Z
7,29,2,2010-12-03T11:35:09Z
1,20,2,2010-12-04T23:27:46Z
37,44,1,2010-12-05T02:18:48Z
44,37,1,2010-12-05T02:21:37Z
39,45,1,2010-12-05T19:54:32Z
39,7,3,2010-12-05T23:04:34Z
39,44,1,2010-12-05T23:19:38Z
44,39,1,2010-12-05T23:20:11Z
23,17,1,2010-12-06T08:23:01Z
23,19,1,2010-12-06T08:23:07Z
36,46,1,2010-12-07T01:16:19Z
46,36,1,2010-12-07T01:16:52Z
47,1,2,2010-12-07T16:44:30Z
13,7,1,2010-12-07T21:23:36Z
7,13,1,2010-12-07T21:23:51Z
29,51,1,2010-12-11T12:28:54Z
51,29,1,2010-12-11T12:42:58Z
29,52,1,2010-12-11T16:33:56Z
52,29,1,2010-12-11T16:34:40Z
45,39,2,2010-12-11T20:26:00Z
45,53,2,2010-12-12T21:28:26Z
53,45,2,2010-12-12T21:30:12Z
45,54,2,2010-12-12T22:43:48Z
54,45,2,2010-12-12T23:04:22Z
1,54,1,2010-12-12T23:26:32Z
54,1,1,2010-12-12T23:26:47Z
7,3,6,2010-12-13T00:34:22Z
36,41,2,2010-12-13T02:10:37Z
41,36,2,2010-12-13T02:11:12Z
36,21,2,2010-12-14T03:32:52Z
21,36,2,2010-12-14T03:33:28Z
7,36,3,2010-12-14T21:13:05Z
36,7,4,2010-12-14T21:14:58Z
7,53,4,2010-12-15T19:46:41Z
